City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Makurdi,NG,2022-07-01 02:26:03,7.7411,8.5121,73.11,94,100,6.04
59,Abha,SA,2022-07-01 02:26:04,18.2164,42.5053,70.05,35,89,4.61
60,Fort-Shevchenko,KZ,2022-07-01 02:26:05,44.5086,50.263,69.76,48,60,7.52
61,Kavieng,PG,2022-07-01 02:26:05,-2.5744,150.7967,83.82,75,27,16.6
62,Hasaki,JP,2022-07-01 02:25:10,35.7333,140.8333,99.28,72,1,7.49
63,Micheweni,TZ,2022-07-01 02:26:06,-4.9667,39.8333,74.73,76,4,13.47
64,Tuktoyaktuk,CA,2022-07-01 02:26:06,69.4541,-133.0374,46.9,78,100,9.6
65,Chuy,UY,2022-07-01 02:26:07,-33.6971,-53.4616,46.0,77,8,5.61
66,Margherita,IN,2022-07-01 02:26:07,27.2833,95.6833,74.7,99,100,1.92
67,Arraial Do Cabo,BR,2022-07-01 02:26:08,-22.9661,-42.0278,67.37,73,7,3.27
68,Tasiilaq,GL,2022-07-01 02:26:09,65.6145,-37.6368,39.36,89,100,0.89
69,Kahului,US,2022-07-01 02:22:41,20.8947,-156.47,82.42,77,20,23.02
70,Tak Bai,TH,2022-07-01 02:26:09,6.2595,102.0546,89.71,78,100,4.52
71,Zelenoborskiy,RU,2022-07-01 02:26:10,66.845,32.3622,58.55,83,99,2.08
72,Cabo San Lucas,MX,2022-07-01 02:25:44,22.8909,-109.9124,86.61,68,0,13.8
73,Clyde River,CA,2022-07-01 02:26:10,70.4692,-68.5914,34.03,93,0,10.36
74,Mbaiki,CF,2022-07-01 02:26:11,3.8678,17.9892,69.31,99,100,0.65
75,Rocha,UY,2022-07-01 02:26:12,-34.4833,-54.3333,40.57,83,43,1.12
76,Sept-Iles,CA,2022-07-01 02:25:22,50.2001,-66.3821,60.8,71,20,10.36
77,Burnie,AU,2022-07-01 02:26:12,-41.0667,145.9167,54.95,53,3,2.26
78,Khash,IR,2022-07-01 02:23:22,28.2211,61.2158,80.47,49,1,1.5
79,Barrow,US,2022-07-01 02:26:13,71.2906,-156.7887,51.82,71,0,5.75
80,Aripuana,BR,2022-07-01 02:26:14,-9.1667,-60.6333,74.52,60,30,1.77
81,Kuytun,RU,2022-07-01 02:26:14,54.3419,101.5036,75.85,50,56,11.45
82,Ponta Do Sol,PT,2022-07-01 02:26:15,32.6667,-17.1,68.0,70,30,6.4
