City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kruisfontein,ZA,-34.0033,24.7314,53.58,59,0,7.52,clear sky
80,Nouadhibou,MR,20.931,-17.0347,69.78,83,0,24.16,clear sky
81,Saint George,US,37.1041,-113.5841,99.19,12,0,14.97,clear sky
82,Clyde River,CA,70.4692,-68.5914,48.43,76,40,8.05,scattered clouds
83,Atuona,PF,-9.8,-139.0333,77.72,80,22,25.55,few clouds
84,Shache,CN,38.4167,77.2406,84.47,21,0,11.34,clear sky
85,Jamestown,US,42.097,-79.2353,69.39,83,0,9.22,clear sky
86,Lidkoping,SE,58.5052,13.1577,55.42,93,100,9.89,overcast clouds
87,Sinop,TR,41.7711,34.8709,61.86,61,0,3.91,clear sky
88,Port Alfred,ZA,-33.5906,26.891,59.67,72,0,8.55,clear sky
89,Thompson,CA,55.7435,-97.8558,69.96,43,100,9.22,overcast clouds
90,Luderitz,NA,-26.6481,15.1594,54.64,61,0,8.95,clear sky
91,Ulagan,RU,50.6321,87.9563,61.32,46,87,5.88,overcast clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,69.8,52,20,8.05,few clouds
93,Namibe,AO,-15.1961,12.1522,65.21,83,0,5.68,clear sky
94,Bethel,US,41.3712,-73.414,76.87,77,0,0.0,clear sky
95,Tiksi,RU,71.6872,128.8694,41.76,75,100,3.53,overcast clouds
96,Ushuaia,AR,-54.8,-68.3,26.26,74,0,5.75,clear sky
97,Chapais,CA,49.7834,-74.8492,56.98,62,16,1.32,few clouds
98,Itaguacu,BR,-19.8019,-40.8556,62.26,92,0,2.51,clear sky
99,Palana,RU,59.1167,159.9667,55.31,82,50,13.13,scattered clouds
100,Blytheville,US,35.9273,-89.919,91.62,55,0,4.61,clear sky
101,Katsuura,JP,35.1333,140.3,76.55,82,93,13.82,overcast clouds
102,Cherskiy,RU,68.75,161.3,56.46,48,96,8.32,overcast clouds
103,Jaciara,BR,-15.9653,-54.9683,67.1,44,2,2.48,clear sky
104,Ribeira Grande,PT,38.5167,-28.7,66.18,81,100,14.79,overcast clouds
105,Karratha,AU,-20.7377,116.8463,67.17,19,4,18.23,clear sky
106,Pangobilian,PH,8.8011,117.8594,84.97,67,92,1.9,moderate rain
107,Popondetta,PG,-8.7537,148.2534,90.1,50,100,5.06,overcast clouds
108,Hithadhoo,MV,-0.6,73.0833,82.06,76,64,10.13,broken clouds
109,Cidreira,BR,-30.1811,-50.2056,64.02,88,100,3.65,overcast clouds
110,Leshukonskoye,RU,64.8989,45.7622,62.94,69,40,4.56,scattered clouds
111,Ponta Do Sol,PT,32.6667,-17.1,69.01,75,0,3.62,clear sky
112,Yumen,CN,40.2833,97.2,73.9,24,0,5.06,clear sky
113,Ialibu,PG,-6.2821,143.9935,64.2,89,100,3.36,light rain
114,Kaitangata,NZ,-46.2817,169.8464,48.97,63,100,2.39,overcast clouds
115,North Platte,US,41.1239,-100.7654,81.12,72,0,8.05,clear sky
116,New Norfolk,AU,-42.7826,147.0587,54.88,75,20,7.0,few clouds
117,Beloha,MG,-25.1667,45.05,62.22,74,0,1.99,clear sky
118,Vanavara,RU,60.34,102.2797,71.98,48,4,3.69,clear sky
119,Rawson,AR,-43.3002,-65.1023,43.16,59,94,31.85,overcast clouds
120,Dickinson,US,29.4608,-95.0513,87.89,77,20,11.5,few clouds
121,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,64,100,14.97,overcast clouds
122,Sitka,US,57.0531,-135.33,60.69,77,100,5.75,overcast clouds
123,Novo Selo,MK,41.4139,22.8811,64.26,63,0,6.98,clear sky
