City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
185,South River,US,82.29,40.4465,-74.386,broken clouds,"Holiday Inn Express & Suites Tower Center New Brunswick, an IHG Hotel"
186,Erzin,TR,72.39,36.9559,36.2,clear sky,Artemis Otel
187,La Ronge,CA,70.02,55.1001,-105.2842,few clouds,Northland Motor Hotel
189,Sao Jose De Ribamar,BR,80.98,-2.5619,-44.0542,overcast clouds,Mediterrânea Hotel e Restaurante
191,Daru,PG,80.13,-9.0763,143.2092,broken clouds,Daru Lodge
192,Caravelas,BR,71.85,-17.7125,-39.2481,broken clouds,Pousada dos Navegantes
193,Panalingaan,PH,83.08,8.7842,117.4231,overcast clouds,I Love Panalingaan View Deck
196,Adeje,ES,73.09,28.1227,-16.726,clear sky,Gran Tacande Wellness & Relax
201,Wenling,CN,83.66,28.3669,121.36,few clouds,Hanting Express Wenling Wanchang North Road
202,Iralaya,HN,79.88,15.0,-83.2333,overcast clouds,Iglesia morava renovada
203,Aklavik,CA,87.15,68.2191,-135.0107,clear sky,Aklavik Inn
205,Lahij,YE,84.54,13.1667,44.5833,overcast clouds,
206,Curup,ID,78.44,-3.4667,102.5333,broken clouds,Ayi The Costel
210,Harper,LR,75.7,4.375,-7.7169,overcast clouds,Screensaver
212,College,US,85.59,64.8569,-147.8028,smoke,Pike's Waterfront Lodge
220,Mormugao,IN,78.06,15.4,73.8,overcast clouds,Coconut Creek Resort
222,Hatsukaichi,JP,89.56,34.35,132.3333,overcast clouds,ホテル WAVE
223,Grand Gaube,MU,70.2,-20.0064,57.6608,overcast clouds,Veranda Paul et Virginie Hotel & Spa
225,Mount Pleasant,US,84.34,32.7941,-79.8626,clear sky,Best Western Patriots Point
228,Denpasar,ID,74.86,-8.65,115.2167,broken clouds,OYO 3156 Hotel Warta 2
229,Saint Anthony,US,78.73,45.0205,-93.218,scattered clouds,Holiday Inn Express Roseville-St. Paul
230,Northfield,US,78.48,44.4583,-93.1616,clear sky,"Country Inn & Suites by Radisson, Northfield, MN"
232,Chifeng,CN,80.51,42.2683,118.9636,clear sky,Junyu Tiancheng Hotel
233,Pacific Grove,US,72.55,36.6177,-121.9166,clear sky,Lovers Point Inn
235,Isangel,VU,84.31,-19.55,169.2667,broken clouds,Tanna Lodge
236,Sao Jose Da Coroa Grande,BR,75.33,-8.8978,-35.1478,clear sky,Crôa Mares Hotel
237,Kokoda,PG,87.71,-8.8785,147.7407,overcast clouds,Daito Guest House
239,Basco,PH,84.61,20.4487,121.9702,scattered clouds,Nathaniel's Lodge
242,Tondano,ID,75.29,1.3038,124.9112,overcast clouds,Villa Bella
243,Qui Nhon,VN,89.53,13.7667,109.2333,overcast clouds,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
245,Kapit,MY,87.3,2.0167,112.9333,scattered clouds,Hotel Meligai Kapit
246,Puerto Cabezas,NI,78.08,14.0351,-83.3888,overcast clouds,Cabaña Caribe
248,Areia Branca,BR,76.91,-4.9561,-37.1369,light rain,Areia Branca Apart Hotel
249,Savannah Bight,HN,82.04,16.45,-85.85,overcast clouds,Villa on Dunbar Rock
251,Erenhot,CN,85.23,43.6475,111.9767,clear sky,Erenhot Rurouni Youth Hostel
254,Mitu,CO,73.72,1.1983,-70.1733,overcast clouds,
257,Yarmouth,US,70.97,41.7057,-70.2286,broken clouds,Blue Rock Resort
258,Vila Velha,BR,71.55,-20.3297,-40.2925,few clouds,Hotel Vitória Palace
259,Solnechnyy,RU,88.86,50.7214,136.6319,scattered clouds,Hotel complex Pastoral
260,Cabo San Lucas,MX,80.26,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
261,Tura,IN,81.93,25.5198,90.2201,clear sky,Hotel RIKMAN Continental
262,Cumana,VE,78.3,10.4635,-64.1775,overcast clouds,Posada Acuarela Los Roques
264,Inirida,CO,73.51,3.8653,-67.9239,broken clouds,Fuente del Guania Hotel de Lujo
265,Tabas,IR,81.32,33.5959,56.9244,clear sky,شرکت معماری مهراز شایگان آراد
266,Lardos,GR,78.94,36.0942,28.0157,clear sky,Lindos Princess Beach Hotel
268,Lompoc,US,75.02,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
270,Puerto Madero,MX,71.8,14.7208,-92.4215,overcast clouds,DEPARTAMENTOS LA ESTANCIA
271,Primo Tapia,MX,80.87,32.22,-116.9172,few clouds,Puerto Nuevo Baja Hotel y Villas
272,Isla Mujeres,MX,80.17,21.2311,-86.731,few clouds,Hotel La Joya Isla Mujeres
275,Monrovia,LR,76.19,6.3005,-10.7969,light rain,Sunset Inn
276,Fuling,CN,88.27,29.7022,107.3919,clear sky,Yingbin Hostel
280,Buriti Dos Lopes,BR,77.88,-3.175,-41.8669,overcast clouds,Pousada Alves
281,Namasigue,HN,79.29,13.2047,-87.1389,overcast clouds,Hacienda La cosa nuestra
286,Upata,VE,73.18,8.0086,-62.3989,clear sky,Posada Villa Nela
287,Jambi,ID,81.39,-1.6,103.6167,scattered clouds,ASTON Jambi Hotel & Conference Center
288,Jalu,LY,80.17,29.0331,21.5482,clear sky,صاحبة الفخامة
289,Ahuimanu,US,83.75,21.4447,-157.8378,broken clouds,Paradise Bay Resort
291,Nabari,JP,87.49,34.6167,136.0833,scattered clouds,Rice Terraces Villa Sasayuri Ann
296,Magistralnyy,RU,71.85,56.1725,107.4458,broken clouds,Магистраль
297,Makakilo City,US,82.56,21.3469,-158.0858,overcast clouds,Marriott's Ko Olina Beach Club
298,Tarrafal,CV,75.99,15.2833,-23.7667,overcast clouds,Hotel Ixola
302,Puri,IN,79.32,19.8,85.85,overcast clouds,OYO 1577 Hotel Shree Hari Grand
303,Paciran,ID,79.95,-6.8767,112.3761,broken clouds,Tanjung Kodok Beach Resort
304,Samandag,TR,77.52,36.0842,35.9771,few clouds,Anadolu Palace Hotel
305,Avera,US,80.65,33.194,-82.5271,few clouds,
306,Jacksonville,US,85.24,30.3322,-81.6556,clear sky,Hyatt Regency Jacksonville Riverfront
313,Kloulklubed,PW,77.5,7.0419,134.2556,light rain,Storyboard Beach Resort
314,Hohoe,GH,72.07,7.1518,0.4736,few clouds,Agumatsa Falls Lodge
315,Noumea,NC,87.78,-22.2763,166.4572,overcast clouds,Hôtel Le Lagon
317,Vila Do Maio,CV,75.99,15.1333,-23.2167,overcast clouds,Hotel Marilu
320,Itaituba,BR,76.57,-4.2761,-55.9836,broken clouds,Hotel Campos
322,Dingle,PH,83.17,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
325,Chandbali,IN,84.61,20.7833,86.7667,overcast clouds,Sabitri Bhavan
327,Pokhara,NP,77.32,28.2333,83.9833,broken clouds,OYO 170 Hotel View Point
333,Bam,IR,85.32,29.106,58.357,overcast clouds,Bam Tourist Hotel
335,West Bay,KY,84.27,19.3667,-81.4167,few clouds,Calypso Cove
337,Portobelo,PA,79.74,9.55,-79.65,overcast clouds,Scuba Portobelo
338,Tiarei,PF,82.42,-17.5333,-149.3333,light rain,Le Rocher de Tahiti
